Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
MSI,Notebook,32 GB,Intel Core i7 12700H,NVIDIA RTX 3070,15.6 Inch,2880x1800,1TB SSD,Windows,82399
MSI,Notebook,16 GB,Intel Core i7 12650H,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,40465
HP,Notebook,16 GB,Intel Core i7 1370,NVIDIA RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos,57999
TAGITOP,Notebook,8 GB,Intel Core i7 1215U,NVIDIA MX250,15.6 Inch,1920x1080,512GB SSD,Dos,35000
MSI,Notebook,16 GB,Intel Core i7 13620H,NVIDIA RTX 4060,15.6 Inch,1920x1080,512GB SSD,Windows,55649
Lenovo,Notebook,8 GB,AMD RYZEN 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,22610
DELL,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,22199
DELL,Notebook,8 GB,Intel Core i5 1235U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,21290
DELL,Notebook,4 GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,15489
HP,Notebook,4 GB,Intel Core i3 1315U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,18395
Lenovo,Notebook,8 GB,Intel Core i5 1335U,NVIDIA  MX550,15.6 Inch,1920x1080,512GB SSD,Dos,49499
Apple,Ultrabook,36GB,M3,30 core,14 Inch,2560x1600,1TB SSD,Mac, 242399.00
Apple,Ultrabook,8GB,M2,10 core,13.6 inch,2560x1664,256GB SSD,Mac,56666
Apple,Ultrabook,8GB,M1,7 core,13 inch,2560x1664,256GB SSD,Mac,47700
Apple,Ultrabook,8GB,M2,10 core,15.6 Inch,2560x1664,256GB SSD,Mac,69900
Apple,Ultrabook,8GB,M2,10 core,15.6 Inch,2560x1664,256GB SSD,Mac,69900
Apple,Ultrabook,18GB,M3 Pro,14 core,14 Inch,2560x1664,512GB SSD,Mac,125000
Apple,Ultrabook,18GB,M3 Pro,18 core,14 Inch,2560x1664,512GB SSD,Mac,155500
Apple,Ultrabook,8GB,M1,7 core,13 Inch,2560x1664,256GB SSD,Mac,47700
Apple,Ultrabook,8GB,M2,10 core,13.6 inch,2560x1664,256GB SSD,Mac,56666
Apple,Ultrabook,8GB,M2,10 core,15.6 Inch,2560x1664,512GB SSD,Mac,79900
Apple,Ultrabook,8GB,M2,8 core,13.6 inch,2560x1664,256GB SSD,Mac,56666
ASUS,Notebook,8GB,AMD Ryzen 7 7730U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,26059
ASUS,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,21999
ASUS,Notebook,16GB,Intel Core Ultra 9,Intel Arc,14 Inch,2880x1800,1TB SSD,Windows,68888
DELL,Notebook,8GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,16599
Lenovo,Notebook,8GB,Intel Core i3 1215U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,16666
ASUS,Notebook,8GB,Intel Core i5,Intel UHD,14 Inch,1920x1080,512GB SSD,Windows,25399
ASUS,Gaming,8GB,AMD Ryzen 5 7535HS,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows,41019
DELL,Notebook,8GB,Intel Core i7 1255U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,27949
